sample,length_mm,species ,parasite_count
1,45,A,5
2,43,A,0
3,46,A,0
4,42,A,2
5,42,A,13
6,40,A,2
7,40,A,1
8,39,A,1
9,39,A,0
10,39,A,4
11,39,A,4
12,38,A,2
13,38,A,2
14,38,A,5
15,38,A,2
16,37,A,4
17,24,A,0
18,44,A,1
19,43,A,6
20,42,A,3
21,41,A,2
22,41,A,1
23,40,A,0
24,39,A,6
25,39,A,0
26,39,A,1
27,39,A,4
28,39,A,2
29,38,A,0
30,37,A,1
31,36,A,0
32,33,A,2
33,32,A,0
34,31,A,1
35,30,A,0
36,26,A,1
37,25,A,0
38,25,A,0
39,24,A,2
40,23,A,0
41,23,A,0
42,49,M,0
43,49,M,13
44,47,M,4
45,47,M,8
46,45,M,4
47,45,M,0
48,44,M,2
49,39,M,0
50,39,M,1
51,36,M,1
52,35,M,3
53,33,M,1
54,32,M,0
55,43,M,3
56,46,M,7
57,45,M,19
58,43,M,3
59,43,M,5
60,41,M,1
61,40,M,18
